20
5
2
3
30

6	25
1	50
11	25
47	42
3	33

22	35
37	29
8	32
40	14
47	10
42	35
5	14
4	36
42	25
29	13
40	12
50	19
49	12
45	9
11	8
25	5
17	28
33	35
2	41
7	15

150

1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308

14
17
16
17
17
12
20
15
15
12
13
15
11
18
13
13
19
18
19
14

0
0
0
0
0

0

0	15.807	8.7	17.1999	3.93024	18.1132	13.5159	5.40896	11.7926	15.985	17.187	6.51676	7.15576	14.2929	9.33921	14.9326	17.271	18.8495	17.6616	9.39162	12.1203	16.3045	14.1083	11.5447	8.50686	
15.807	0	10.9937	30.1511	9.52536	18.1982	23.793	8.95856	23.5529	33.5048	30.2481	22.3237	6.29984	32.9086	25.1462	27.643	23.9545	27.2098	37.155	23.6169	22.3974	12.5134	26.6594	8.50776	19.4019	
8.7	10.9937	0	18.5189	5.76999	16.5921	15.3556	7.24871	6.51339	10.7058	17.2637	5.76378	4.69383	23.3957	15.4864	9.65339	11.9918	14.9032	12.3824	5.78	13.9601	9.92814	20.7828	6.90174	7.75388	
17.1999	30.1511	18.5189	0	11.5441	15.0228	5.08438	10.0654	17.4098	13.0081	12.9895	15.6867	12.7241	12.7041	12.6289	15.442	19.0609	9.01998	13.97	25.8928	15.0663	22.1288	7.98276	26.9394	20.3606	
3.93024	9.52536	5.76999	11.5441	0	14.5079	9.58566	1.47872	12.2834	16.703	20.6762	10.447	3.22552	17.2054	10.541	19.9433	20.8802	14.2517	20.0198	11.55	8.19007	14.3807	14.2008	5.43344	13.5246	
18.1132	18.1982	16.5921	15.0228	14.5079	0	11.6551	13.0292	14.8944	10.7248	23.15	23.8499	11.8983	20.8672	12.6302	16.489	16.7398	13.9754	9.02541	27.5049	20.8551	14.1938	7.04	14.1062	21.0823	
13.5159	23.793	15.3556	5.08438	9.58566	11.6551	0	11.0644	13.4976	12.205	11.0906	10.6024	12.8112	7.61972	10.2053	10.3576	12.7197	14.1044	17.8212	23.4151	17.7757	18.7611	4.61511	18.1316	12.5925	
5.40896	8.95856	7.24871	10.0654	1.47872	13.0292	11.0644	0	14.9669	15.2243	23.0549	11.8614	2.65872	14.016	9.06227	20.6599	17.9754	12.773	16.9237	14.2335	9.66878	12.902	14.6524	4.86664	13.8515	
11.7926	23.5529	6.51339	17.4098	12.2834	14.8944	13.4976	14.9669	0	4.19237	17.2229	12.2772	11.2072	8.77768	14.7376	3.14	5.47837	8.18046	5.86899	12.2934	17.6987	11.0396	17.151	23.3373	14.268	
15.985	33.5048	10.7058	13.0081	16.703	10.7248	12.205	15.2243	4.19237	0	11.7853	16.3208	17.883	4.5853	9.53901	7.33237	2.75118	3.98808	1.69941	11.2607	13.5291	15.232	14.4238	27.3222	19.7099	
