10
10
2
2
30

6	11
10	43
1	33
14	23
27	48
42	35
42	47
41	23
36	45
43	34

12	21
1	2
11	28
2	10
14	5
10	12
23	24
24	11
8	30
11	27

150

1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308

11
15
11
14
17
13
14
15
13
17

0
0
0
0
0
0
0
0
0
0

0

0	15.816	14.1003	16.8723	25.3585	14.956	18.3086	16.2832	19.951	18.0893	12.4428	4.28143	8.94679	2.18525	16.3557	3.13356	10.0093	13.9165	13.1168	8.71679	
15.816	0	11.4356	16.1129	10.6229	15.4189	16.4098	27.4273	5.21536	13.3401	19.2242	8.815	12.628	10.9112	20.5557	21.5959	17.4965	15.7305	14.6342	12.858	
14.1003	11.4356	0	8.54596	27.0156	22.7891	23.3529	21.3274	16.5398	23.1065	12.0626	19.5927	5.50618	17.4965	19.4485	10.9667	19.8388	30.2941	3.19862	9.39788	
16.8723	16.1129	8.54596	0	24.3862	12.4697	14.6239	11.34	18.6885	25.4272	3.11127	17.0417	7.65489	12.1706	8.97182	13.345	4.34658	13.4336	5.34734	7.73417	
25.3585	10.6229	27.0156	24.3862	0	6.96876	16.602	18.5974	5.40749	4.88987	23.7357	15.9782	26.1245	26.8369	31.3894	25.1216	21.4223	36.811	18.7487	30.1385	
14.956	15.4189	22.7891	12.4697	6.96876	0	14.76	5.2983	16.5599	2.07889	16.4464	13.1672	20.8988	15.9472	12.7484	11.8224	8.12316	18.6843	24.1378	12.8647	
18.3086	16.4098	23.3529	14.6239	16.602	14.76	0	17.1582	11.1945	14.2119	11.5127	22.247	9.82185	21.7703	24.4123	21.7464	19.836	37.5989	15.9134	9.59185	
16.2832	27.4273	21.3274	11.34	18.5974	5.2983	17.1582	0	21.8582	7.3772	12.1893	20.2215	7.79637	24.2547	25.1072	17.1207	13.4215	24.7736	13.8879	7.56637	
19.951	5.21536	16.5398	18.6885	5.40749	16.5599	11.1945	21.8582	0	10.2974	18.3282	14.0304	15.6488	22.1362	20.926	23.0845	16.3008	26.8619	13.3412	19.6627	
18.0893	13.3401	23.1065	25.4272	4.88987	2.07889	14.2119	7.3772	10.2974	0	25.7245	11.0883	24.7438	13.1845	22.829	13.9013	10.2021	18.0038	26.3052	21.6536	
