100
10
3
26
40

2	10
18	44
49	8
24	29
18	24
14	12
4	39
32	30
7	29
40	48

12	38
32	17
29	12
25	20
2	30
31	46
5	13
13	36
38	6
29	11
38	47
9	47
11	18
17	31
19	6
12	7
5	14
40	36
9	45
24	43
48	45
50	13
8	43
42	23
43	14
43	6
49	4
35	41
31	42
19	24
26	29
43	47
37	36
30	3
8	34
18	40
40	10
4	27
24	26
41	17
36	22
6	6
39	40
18	29
20	3
27	3
8	26
13	37
9	6
3	28
5	50
5	28
40	5
16	28
46	41
36	46
50	47
29	41
31	2
30	11
44	17
1	3
25	26
49	11
34	6
30	12
15	17
30	40
16	35
31	42
4	17
3	50
25	33
43	30
30	38
37	49
26	30
21	47
22	8
22	17
29	43
3	42
33	8
31	20
44	32
14	39
6	35
9	34
7	1
49	32
22	1
50	21
45	11
36	45
25	4
50	18
21	50
32	49
38	1
43	28

70

1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308

14
19
16
18
16
14
18
12
14
20
19
20
19
18
19
18
20
20
19
15
19
18
12
19
20
19
11
16
20
17
15
19
19
11
20
12
14
19
12
20
12
20
15
16
13
15
18
19
12
19
18
20
13
17
17
11
16
16
17
16
18
16
18
19
18
17
16
13
16
15
11
15
13
16
18
15
11
14
12
16
17
17
12
14
14
15
19
16
19
12
16
11
11
14
17
15
17
20
15
12

0
0
0
0
0
0
0
0
0
0

0

0	12.112	17.0406	9.42568	12.0918	11.0627	12.2089	12.0374	8.172	18.1079	14.7492	11.1874	5.41479	9.87757	15.2	12.9077	3.81838	13.2028	13.6652	5.82479	15.6637	15.5108	10.1988	11.3037	10.6374	13.7812	5.43838	17.3548	18.0292	11.5665	15.7935	17.8477	13.4534	11.3775	15.6862	9.07037	11.877	14.2027	15.7877	9.00751	8.50908	12.7022	19.8302	11.1929	14.2348	11.4704	11.3087	12.58	9.155	14.6448	12.7712	9.39038	15.1927	12.0337	11.1929	10.678	9.81074	11.4263	10.5405	10.7192	14.44	12.2572	16.6194	8.65466	17.4131	17.6298	17.1065	15.3714	9.77195	6.33403	14.9801	6.85894	7.845	10.6213	9.51977	5.95479	8.66502	14.2461	12.027	13.5328	5.96969	16.0462	14.635	14.8843	11.615	15.1687	9.61793	9.56645	10.552	6.99257	12.7914	13.5371	6.60273	8.13604	17.2557	14.1231	12.5317	13.0327	9.00928	15.0656	9.84785	18.3037	16.845	16.3587	7.36862	19.7444	14.8165	17.5045	12.948	13.1563	
12.112	0	12.493	6.88598	8.97794	12.3914	6.30324	8.41381	9.80489	5.05348	1.95161	14.6741	10.5181	15	5.28124	3.02518	11.7654	3.20381	16.4098	17.3289	6.20716	5.8104	8.07775	5.56459	17.5854	18.6427	12.2016	6.11951	8.75108	4.54558	8.7726	12.4135	7.4583	11.7645	17.8135	15.4519	19.1628	5.20224	7.18518	9.32843	7.98679	13.1405	7.10684	13.6384	8.20244	3.596	13.831	10.5205	10.3775	13.8138	11.0859	17.076	14.9252	6.37772	16.6292	22.1829	12.0539	3.49311	14.6308	12.58	7.16043	9.20523	15.0695	11.968	11.8012	5.32518	10.0856	6.26728	20.0558	12.1289	10.0169	16.8275	9.20526	13.0352	12.4383	11.1887	10.9227	6.97897	5.14558	8.80657	12.931	4.20043	5.21536	14.4875	5.47301	7.73825	9.4564	2.54558	11.4384	8.84908	4.35923	5.59569	17.4318	7.18612	15.4135	2.57771	7.92192	8.61032	14.033	9.85148	17.8304	10.7615	19.892	8.79229	9.59573	19.5847	3.89076	6.06096	18.8207	8.4335	
