20
5
3
5
50

6	21
10	1
47	15
18	25
31	42

9	22
22	5
8	17
2	22
20	29
2	24
25	15
20	24
15	2
4	18
29	47
34	25
27	39
46	33
33	29
28	46
44	28
33	32
35	23
40	39

70

1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308

20
11
18
13
12
17
19
13
18
14
12
15
15
20
13
14
17
19
14
16

0
0
0
0
0

0

0	5.83253	7.95984	4.49272	2.56805	1.99026	9.35558	5.49503	0.620929	9.43584	3.06285	4.97617	4.5067	6.05763	2.75469	4.37273	6.36852	3.02004	8.32799	7.38096	8.31926	4.6922	4.10722	8.5552	5.56147	
5.83253	0	4.29253	7.56834	7.04025	2.43199	2.31418	9.45344	3.80132	16.7861	4.47528	4.48517	3.94988	2.46538	6.51045	11.2647	10.4465	8.91457	12.0869	6.73372	10.6237	7.21211	5.50107	11.9574	12.6822	
7.95984	4.29253	0	5.57043	7.66459	7.29811	1.97835	8.09568	11.2169	7.711	13.7234	4.14934	4.26514	15.0837	9.62091	9.46927	1.59133	5.16763	7.31652	2.60376	7.06107	3.75032	6.5368	14.6979	5.00919	
4.49272	7.56834	5.57043	0	4.39781	5.24112	5.25416	8.62146	3.87179	2.38926	6.3137	7.42515	1.99627	3.48077	7.55364	5.39809	3.9791	4.8498	3.98723	4.99154	5.79801	6.1381	2.9364	7.32364	7.39122	
2.56805	7.04025	7.66459	4.39781	0	6.20393	7.02208	5.12691	3.18898	6.78707	5.69546	3.42793	2.4793	8.62569	5.32274	1.80467	4.0283	0.451994	1.69281	2.21441	2.07823	2.12415	1.53917	7.03332	2.99342	
1.99026	2.43199	7.29811	5.24112	6.20393	0	4.74616	6.8188	1.36934	8.88092	2.04329	5.79609	5.25511	4.89736	4.07846	8.0086	8.94865	6.65592	9.41382	7.93622	8.19176	8.32808	7.7431	7.47107	9.19735	
9.35558	2.31418	1.97835	5.25416	7.02208	4.74616	0	10.074	6.59775	7.64342	7.36305	2.17099	7.25043	4.77956	4.39247	10.6522	3.56968	10.6639	5.4671	12.6952	7.51495	3.47477	7.81525	10.1164	6.98755	
5.49503	9.45344	8.09568	8.62146	5.12691	6.8188	10.074	0	6.4222	11.0107	5.51264	4.96182	8.47257	6.98806	2.74034	10.4646	7.47582	4.67491	5.88599	6.43733	6.30115	5.31682	8.08841	10.5353	11.3157	
0.620929	3.80132	11.2169	3.87179	3.18898	1.36934	6.59775	6.4222	0	5.71355	2.44192	4.42676	3.88577	5.37027	3.37562	8.5026	6.55959	7.70811	13.0046	7.63734	8.94019	5.73054	4.8259	7.8697	16.225	
9.43584	16.7861	7.711	2.38926	6.78707	8.88092	7.64342	11.0107	5.71355	0	9.58244	9.46445	1.82778	3.31228	15.8081	6.79569	4.50159	2.83878	1.59797	3.5421	2.82003	2.16713	2.76791	3.227	3.9053	
3.06285	4.47528	13.7234	6.3137	5.69546	2.04329	7.36305	5.51264	2.44192	9.58244	0	4.99379	6.32769	9.18505	2.7723	6.06068	8.5931	8.46407	7.05681	7.58066	6.46061	10.6463	8.69479	5.42778	12.8701	
4.97617	4.48517	4.14934	7.42515	3.42793	5.79609	2.17099	4.96182	4.42676	9.46445	4.99379	0	8.05963	16.4443	2.22148	5.74389	3.46277	6.9702	1.87294	9.85075	5.34396	1.30378	10.6711	6.52227	7.30263	
4.5067	3.94988	4.26514	1.99627	2.4793	5.25511	7.25043	8.47257	3.88577	1.82778	6.32769	8.05963	0	1.4845	7.56763	4.96791	2.67381	4.35362	3.42575	2.17278	5.36784	4.83281	0.940132	5.32737	10.6604	
6.05763	2.46538	15.0837	3.48077	8.62569	4.89736	4.77956	6.98806	5.37027	3.31228	9.18505	16.4443	1.4845	0	8.81232	6.45241	4.15832	9.11234	18.8951	5.23607	10.4684	8.24036	2.42463	6.81187	17.4773	
2.75469	6.51045	9.62091	7.55364	5.32274	4.07846	4.39247	2.74034	3.37562	15.8081	2.7723	2.22148	7.56763	8.81232	0	8.23211	8.02959	5.69177	6.93258	7.45418	7.318	3.52526	7.96661	8.20009	9.42085	
4.37273	11.2647	9.46927	5.39809	1.80467	8.0086	10.6522	10.4646	8.5026	6.79569	6.06068	5.74389	4.96791	6.45241	8.23211	0	5.86967	2.02616	1.62199	8.71948	0.399925	3.92883	3.34385	8.32348	4.79809	
6.36852	10.4465	1.59133	3.9791	4.0283	8.94865	3.56968	7.47582	6.55959	4.50159	8.5931	3.46277	2.67381	4.15832	8.02959	5.86967	0	2.77485	2.72816	1.01244	5.20254	2.159	2.24509	4.33963	6.60052	
3.02004	8.91457	5.16763	4.8498	0.451994	6.65592	10.6639	4.67491	7.70811	2.83878	8.46407	6.9702	4.35362	9.11234	5.69177	2.02616	2.77485	0	1.24081	1.76241	1.62624	1.80998	1.99117	2.86984	3.44541	
8.32799	12.0869	7.31652	3.98723	1.69281	9.41382	5.4671	5.88599	13.0046	1.59797	7.05681	1.87294	3.42575	18.8951	6.93258	1.62199	2.72816	1.24081	0	1.94413	1.22206	0.569165	3.17678	1.62903	2.30733	
7.38096	6.73372	2.60376	4.99154	2.21441	7.93622	12.6952	6.43733	7.63734	3.5421	7.58066	9.85075	2.17278	5.23607	7.45418	8.71948	1.01244	1.76241	1.94413	0	3.16619	2.51329	1.23265	3.32719	4.25146	
8.31926	10.6237	7.06107	5.79801	2.07823	8.19176	7.51495	6.30115	8.94019	2.82003	6.46061	5.34396	5.36784	10.4684	7.318	0.399925	5.20254	1.62624	1.22206	3.16619	0	1.79122	5.03973	2.85109	3.52939	
4.6922	7.21211	3.75032	6.1381	2.12415	8.32808	3.47477	5.31682	5.73054	2.16713	10.6463	1.30378	4.83281	8.24036	3.52526	3.92883	2.159	1.80998	0.569165	2.51329	1.79122	0	3.66333	2.1982	2.8765	
4.10722	5.50107	6.5368	2.9364	1.53917	7.7431	7.81525	8.08841	4.8259	2.76791	8.69479	10.6711	0.940132	2.42463	7.96661	3.34385	2.24509	1.99117	3.17678	1.23265	5.03973	3.66333	0	4.55984	4.53259	
8.5552	11.9574	14.6979	7.32364	7.03332	7.47107	10.1164	10.5353	7.8697	3.227	5.42778	6.52227	5.32737	6.81187	8.20009	8.32348	4.33963	2.86984	1.62903	3.32719	2.85109	2.1982	4.55984	0	3.93636	
5.56147	12.6822	5.00919	7.39122	2.99342	9.19735	6.98755	11.3157	16.225	3.9053	12.8701	7.30263	10.6604	17.4773	9.42085	4.79809	6.60052	3.44541	2.30733	4.25146	3.52939	2.8765	4.53259	3.93636	0	

0	8.78391	8.41207	3.76457	8.74621	1.29417	6.28412	2.34359	3.90742	3.86105	4.00467	4.09712	1.33881	4.96127	1.815	11.4613	9.47206	3.82547	7.07775	10.723	7.83551	8.42722	6.99573	8.98561	7.95331	
8.78391	0	6.67833	9.87086	12.3936	10.7465	4.74864	15.9792	8.21717	9.96735	5.7831	11.8443	7.44511	10.1483	7.20952	15.9194	8.62342	9.93177	9.12468	14.7431	17.1465	7.77521	8.77416	9.75053	9.75184	
8.41207	6.67833	0	6.16452	9.68592	7.45412	5.06093	10.0114	4.84088	9.59551	7.53836	7.30274	7.07326	3.47001	8.72619	11.146	3.07814	9.55993	3.57941	4.69509	8.77359	2.22993	7.99221	3.0722	4.20656	
3.76457	9.87086	6.16452	0	8.15133	2.52628	12.0125	1.47686	5.91695	4.948	10.8657	1.48002	2.42576	5.31274	2.95828	1.22239	4.78279	4.91242	5.28406	7.08057	1.90023	3.93458	8.54542	8.67825	4.77934	
8.74621	12.3936	9.68592	8.15133	0	11.8402	16.7177	9.8611	12.809	5.34102	9.39209	9.86426	3.80977	11.3686	12.7216	5.97673	7.93525	1.3231	3.34757	8.15538	5.29889	5.86462	6.40103	10.638	3.88799	
