20
5
2
3
30

6	11
10	43
1	33
14	23
27	48

12	21
1	2
11	28
2	10
14	5
10	12
23	24
24	11
8	30
11	27
29	42
26	47
30	36
37	28
31	27
42	35
42	47
41	23
36	45
43	34

150

1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308
1.79769e+308

11
15
11
14
17
13
14
15
13
17
16
18
12
19
18
15
16
14
20
14

0
0
0
0
0

0

0	3.66284	4.28181	2.32211	1.83952	1.51869	4.98419	8.37234	1.09432	3.49806	0.966699	4.96659	5.23707	4.18135	3.27979	8.25836	2.89376	4.06001	11.6391	4.58138	7.16353	7.24293	3.0169	5.67323	7.61385
3.66284	0	4.10499	3.6092	5.93259	2.14415	10.2262	2.94368	8.70232	7.34687	3.66838	6.22953	8.17257	3.58864	4.30167	2.29	7.77132	3.7121	6.12851	5.20042	5.81934	11.6838	3.64237	7.607	5.46643
4.28181	4.10499	0	3.46038	8.23799	2.76313	5.34418	1.16131	3.95736	3.64358	4.28735	3.6695	1.90458	2.84161	2.5027	4.5472	9.73892	3.27782	2.95118	3.8075	7.57719	9.72798	2.00656	8.73564	7.78428
2.32211	3.6092	3.46038	0	4.16162	1.46505	3.79916	2.87585	3.41643	3.85438	2.98927	5.55043	3.46818	1.99436	0.95768	11.3213	12.7295	7.48916	11.5854	5.8522	9.1408	11.0047	2.96326	8.37687	13.6919
1.83952	5.93259	8.23799	4.16162	0	3.3582	7.59185	5.91081	2.93383	5.33758	2.80622	4.61664	5.12588	4.23051	5.26718	5.65228	1.05424	2.22049	5.58819	2.74186	4.32774	5.40341	3.49175	3.83371	9.52138
1.51869	2.14415	2.76313	1.46505	3.3582	0	4.999	3.92443	2.613	5.01675	1.52422	3.16115	4.6677	2.66267	2.15752	4.43415	9.23057	2.76947	2.44283	3.29915	7.72105	9.5396	1.49821	9.57671	7.61058
4.98419	10.2262	5.34418	3.79916	7.59185	4.999	0	4.75966	3.88987	6.7165	6.71903	7.76214	4.97749	3.87816	2.84148	12.5162	10.3793	9.43796	16.8056	7.3615	10.6501	12.8009	11.2017	10.2607	15.6926
8.37234	2.94368	1.16131	2.87585	5.91081	3.92443	4.75966	0	5.11867	6.50951	8.70816	7.10166	3.06588	1.68031	1.91817	5.23368	10.1851	6.12589	4.21551	7.06183	7.02325	9.2931	3.16787	7.57434	4.87759
1.09432	8.70232	3.95736	3.41643	2.93383	2.613	3.88987	5.11867	0	4.59238	2.06102	3.87227	5.86194	5.11368	6.15035	8.50456	10.5945	9.97486	11.4935	5.74705	8.56905	11.2188	5.53521	14.8524	12.4641
3.49806	7.34687	3.64358	3.85438	5.33758	5.01675	6.7165	6.50951	4.59238	0	4.46476	10.4341	1.73901	5.62801	4.59134	9.59208	7.694	3.63477	13.2936	4.12302	5.74202	9.5624	4.90603	7.52968	14.8679
0.966699	3.66838	4.28735	2.98927	2.80622	1.52422	6.71903	8.70816	2.06102	4.46476	0	4.75193	11.8694	4.18689	3.68174	7.29166	5.94951	7.11576	7.30923	6.6267	6.19683	10.2987	3.02243	8.72898	6.64715
4.96659	6.22953	3.6695	5.55043	4.61664	3.16115	7.76214	7.10166	3.87227	10.4341	4.75193	0	4.25878	6.74804	6.24289	4.78519	9.39529	2.9342	2.60756	1.87477	4.69678	8.28103	1.66294	9.99979	7.28172
